编号,专业名称,是什么,学什么,干什么
273,藏医学,藏医学主要研究藏药学、藏医诊疗法、藏医临床医疗技术等方面的基本知识和技能，运用藏医的理法方药进行常见病的诊断、治疗等，多见于西藏地区。藏医诊法除望、闻、问、切外，更注重尿诊，常见的藏医疗法有服药治疗、穴位放血、熏蒸治疗、腹部穿刺等。 关键词：中医 西藏 少数民族 藏红花,《藏医人体学》、《藏医病机学》、《藏医三大基因学》、《藏医保健学》、《藏药方剂学》、《藏医外治学》、《藏医诊断学》、《藏医内科学》、《藏医热病疫病学》、《藏医五官科学》,藏医类单位：藏医医疗、藏药研发。
274,蒙医学,蒙医学主要研究蒙药学、蒙医诊疗法、蒙医临床医疗技术等方面的基本知识和技能，运用蒙医或蒙西医结合的理法方药进行常见病的诊断、治疗等，多见于蒙古地区。常见的蒙医疗法有药物疗法、饮食疗法、烧灼疗法、正脑术、灸疗、放血疗法等，以饮食疗法为主，常用的有马奶、牛骨髓、乳酪等。 关键词：中医 蒙古 马奶 放血,《蒙医基础理论》、《蒙医诊断学》、《蒙药学》、《蒙医方剂学》、《蒙医疗术学》、《蒙医温病学》、《蒙医内科学》、《人体解剖学》、《生理学》、《诊断学》 部分高校按以下专业方向培养：医生、蒙西医结合。,蒙医类单位：蒙医医疗、蒙药研发。
275,维医学,维医学主要研究维药学、维医诊疗法、维医临床医疗技术等方面的基本知识和技能，运用维医的理法方药进行常见病的诊断、治疗等，多见于新疆地区。常见的维医疗法有药物疗法、饮食疗法、放血疗法、放水蛭疗法等，遵循唯物主义，以纠正气质和体液失调为主，重视主病和并发症的治疗。 关键词：中医 新疆 维吾尔族 水蛭疗法,《维医基础理论》、《维药学》、《维药方剂学》、《维医诊断》、《维医内科》、《维医外科》、《维医妇科》、《维医儿科》、《人体解剖生理学》、《中医学概论》,维医类单位：维医医疗、维药研发。
276,壮医学,壮医学以气为重要理论基础之一，主要研究壮药学、壮医诊疗法、壮医临床医疗技术等方面的基本知识和技能，运用壮医的理法方药进行常见病的诊断、治疗等，多见于广西地区。壮医诊法除望、闻、问、切外，辅以甲诊、按诊、探病诊法，来观察病人的指甲、肢体和穴位变化等进行深入诊断，常见的疗法有内疗法、药线点灸疗法、药物竹罐疗法、针挑疗法等。 关键词：中医 壮族 内疗法 针挑疗法,《壮医基础理论》、《壮医诊断学》、《壮医方药学》、《壮医内科学》、《壮医经筋治疗学》、《中医基础理论》、《中医诊断学》、《中药学》、《方剂学》、《针灸学》,壮医类单位：壮医医疗、壮药研发。
277,哈医学,哈医学以阴阳学为理论基础，主要研究哈药学、现代医学、哈萨克医学等方面的基本知识，接受哈医临床操作和辨证施治的基本训练，运用哈医的理法方药进行常见病的诊断、治疗等，多见于阿勒泰地区。常见的哈医疗法有药浴、蒸薰洗疗法、放血疗法、羊油疗法等。 关键词：中医 阿勒泰 哈萨克族 阴阳学,《哈萨克族医学概论》、《哈医医学史》、《哈医药物学》、《哈医方剂学》、《哈医二十四脏器学》、《哈医药志》、《哈医诊断学》、《哈医骨伤学》、《哈医药浴疗法学》,哈医类单位：哈医医疗、哈药研发； 研究单位：药物收集、药方整理、哈医传承。
278,中西医临床医学,中西医临床医学主要研究传统中医学理论、西方现代医学技术等方面的基本知识和技能，将中医药与西医技术结合，进行疾病的预防、临床诊断和治疗。例如：中医诊脉和西医血液化验、B超等医学技术结合进行病情诊断，感冒清热颗粒、白加黑等中西药共同作用进行感冒的治疗等。 关键词：医生 中西结合 中药 化验,《病理解剖学》、《方剂学》、《医学影像学》、《医古文》、《人体机能学》、《温病学》、《中西医结合内科学》、《中西医结合骨伤学》、《中西医结合外科学》、《中西医结合皮肤与性病》 部分高校按以下专业方向培养：中医学、全科医生。,医疗机构：医生、社区保健、卫生防疫、卫生行政。
279,药学,药学主要研究药剂学、药理学、药物化学、药物合成、药物分析等方面的基本知识和技能，进行药品的研发、生产、加工、质检、销售、管理等。例如：中成药、西药的研发，感冒清热颗粒等中药颗粒冲剂的加工，药物质量的检验鉴定，药品的销售管理等。 关键词：中药 西药 药剂师 药店,《中医学》、《方剂学》、《药事管理》、《临床药理学》、《药物合成》、《生物化学与分子生物学》、《生物药剂学与药物动力学》、《临床药物治疗学》、《临床药物治疗学》、《药物分析方法》 部分高校按以下专业方向培养：营销、中药、临床药理、临床药学、食品药学、医药经济。,医疗机构：药物制剂、药品管理、药剂师； 制药类企业：药物研发、药品生产、药品加工、药品销售； 药检类单位：药物质检。
280,药物制剂,药物制剂主要研究药学、生物药剂学、工业药剂学、药物制剂工程等方面的基本知识和技能，进行药物制剂的研发、生产、分析、质检等。常见的药物制剂有糖衣片、肠溶片、胶囊、软膏、喷雾、注射剂等。 关键词：制剂 药片 胶囊 口服液,《药理学》、《药物分析》、《工业药剂学》、《生物制剂工艺》、《药物制剂分子生物学》、《组织工程学》、《药物化学》、《生物药剂学》、《药用高分子材料学》、《制剂设备与车间工艺设计》,医疗机构：药剂师、药品管理； 制药类企业：药品研发、药物制剂、药品分析、药品质检、药品销售。
281,中药学,中药学主要研究中医学、中药学、中药药理学、毒理学、中药研制等方面的基本知识和技能，进行中药鉴定、中药分析、中药炮制、中药制剂制备、中药配药等。例如：牛黄清心丸等中成药的成分分析，软膏、药丸、糖浆等中药制剂的研发，川乌、草乌等中药进行炮制降毒，根据中药药方进行配药、抓药、煎药等。 关键词：中药 炮制 药丸 煎药,《方剂学》、《药理学》、《中药炮制学》、《药物合成》、《生物药剂学与药物动力学》、《临床药物治疗学》、《温病学》、《中药化学》、《中药鉴定学》、《中药制剂学》 部分高校按以下专业方向培养：保健食品、中药分析、临床中药学。,医药类企业：中药炮制、中药制剂制备、中药检验、保健品研发、质量控制、药品营销； 医疗机构：中药配药、中药煎煮、中药鉴定。
282,中药资源与开发,中药资源与开发主要研究中药学、中药资源学等方面的基本知识和技能，进行中药资源的调查分析、中药材的培养生产、中药资源的综合开发利用和保护更新等。例如：中药资源种类、数目、分布的普查，当归、人参等中药材的栽培养护，中药新药的研制，中药材新品种的研发等。 关键词：中药 资源 开发 种药,《中医药基础理论》、《药用植物学》、《药用动物学》、《植物生理和生态学》、《生药学》、《药用植物栽培学》、《中药资源学》、《天然药物化学》、《中药分析化学》、《中药生物技术》,医药类企业：中药资源调查、中药材栽培、中药材鉴定、中药原料采购、中药材加工、中药新药研发。
283,法医学,法医学主要研究基础医学、临床医学、法学及法医学等方面的基本知识和技能，在公安机关、医院、司法鉴定机构和保险公司进行法医学检案鉴定、医疗服务、保险服务等。例如：死者的尸检，案发现场不明血迹、残留物的鉴定，事故中人身伤害程度的鉴定，医疗纠纷中过错和不良后果的鉴定。 关键词：法医 解剖 化验 尸体,《医学生物学》、《卫生法学》、《解剖学》、《组织学与胚胎学》、《医学微生物学》、《医学细胞生物学》、《医学遗传学》、《生物化学与分子生物学》、《生理学》、《医学免疫学》,政法机关：法医鉴定、法医取证、病理解剖、司法鉴定； 鉴定机构：临床鉴定、伤害鉴定。
284,医学检验技术,医学检验技术主要研究基础医学、临床医学、医学检验等方面的基本知识和技能，在各级医院、血站、防疫、检验等部门进行医学检验、卫生检验等。例如：血液中血糖、血红蛋白等各种物质含量的检验，亲子间DNA的检验，食品中细菌含量的检验，动植物疫病的检验、检疫等。 关键词：医院 化验 血液 生物,《生物化学》、《医学统计学》、《分析化学》、《检验仪器学》、《生理学》、《病理学》、《寄生虫学及检验》、《微生物学及检验》、《免疫学及检验》、《血液学检验》,医疗机构：医学检验、临床化验； 检验类单位：食品检验、卫生检验、动植物检验。
285,医学实验技术,医学实验技术主要研究基础医学、临床医学、临床生物化学、医学实验技术等方面的基本知识和技能，进行临床医学实验研究、生物制品研发等。例如：新药批量生产前在动物身上进行临床实验，实验用的小白鼠的培育，疫苗、血清、病毒等生物制品的研发生产等。 关键词：医院 实验 试药 小白鼠,《人体解剖学》、《组织胚胎学》、《生理学》、《生物化学》、《分子生物学》、《临床检验基础》、《临床生物化学及检验》、《微生物学及检验》、《免疫学及检验》、《血液学检验》,医疗机构：临床医学实验、医学检验、实验动物培育； 生物制品类企业：生物制品研发。
286,医学影像技术,医学影像技术主要研究基础医学、临床医学、医学影像学等方面的基本知识和技能，以影像诊断学和介入医学为手段，进行疾病的诊断、治疗等。常见的医学影像诊断技术有CT、B超、X光片、核磁共振、多普勒彩超等，常见的治疗技术有肿瘤放射治疗。 关键词：医院 射线 CT 核磁共振,《基础医学》、《临床医学》、《医学影像学》、《影像设备结构与维修》、《医学成像技术》、《摄影学》、《影像诊断学》、《介入放射学》、《影像物理》、《超声诊断》 部分高校按以下专业方向培养：放射治疗技术。,医疗机构：医学影像检验、医学影像诊断、设备维护、放射治疗。
287,眼视光学,眼视光学主要研究眼科学、眼视光学、现代光学技术等方面的基本知识和技能，进行视力的矫正、眼病的预防、诊断、治疗等。例如：眼睛视力、散光的检查，眼睛屈光、矫正等手术的实施，眼睛的验光和配镜，眼睛保健知识的宣传等。 关键词：眼睛 矫正 验光 眼镜,《病理解剖学》、《医学影像学》、《低视力学》、《几何光学》、《临床眼科学》、《临床医学综合》、《视光学》、《视觉及应用技术》、《视觉神经生理学》、《眼镜学》,医疗机构：眼科检查、视力矫正、眼科手术； 眼镜类企业：眼睛验光、眼镜配镜。
288,康复治疗学,康复治疗学主要研究基础医学、临床医学、康复治疗学、康复预防与评价等方面的基本知识和技能，进行康复治疗、康复评定、预防保健等。例如：关节损伤患者的关节活动训练，瘫痪病人的康复训练，患者康复情况的评定，运动员伤愈后的恢复指导等。 关键词：康复 理疗 保健 预防,《组织学与胚胎学》、《免疫学》、《生理学》、《药理学》、《病理学》、《康复评定学》、《康复工程学》、《物理治疗学》、《作业治疗学》、《康复护理学》 部分高校按以下专业方向培养：呼吸治疗、物理治疗、作业治疗。,康复类机构：康复治疗、康复评定； 运动俱乐部类：康复健身指导、运动医务监督； 社区服务类单位：预防保健。
289,口腔医学技术,口腔医学技术主要研究基础医学、口腔医学和口腔医学技术等方面的基本知识和技能，进行口腔修复、口腔矫形、面部整容等。例如：口腔内错牙合畸形的矫正，义齿的加工和安装，断齿的修复等。 关键词：口腔外科 牙齿 正畸 假牙,《口腔解剖生理学》、《口腔内科》、《口腔外科》、《口腔正畸学》、《口腔修复材料》、《口腔技工工艺》、《口腔医学》、《口腔美学》,医疗机构：口腔医生、口腔正畸、口腔修复； 美容类企业：面部整容、美容。
290,卫生检验与检疫,卫生检验与检疫主要研究预防医学、卫生理化检验及生物学检验等方面的基本知识和技能，在疾病预防控制中心、医院检验科室、检验检疫单位等进行卫生检验检疫等。例如：甲流等大规模流行病的临床检验、病理化验，进出口动植物的检验检疫，食品、药品、化妆品等的质量检验、细菌检验等。 关键词：卫生 检验 防疫 疾控,《临床检验学基础》、《免疫学与临床免疫检验》、《寄生虫学及检验》、《空气理化检验学》、《水质理化检验学》、《食品理化检验学》、《生物材料理化检验》、《卫生检验检疫》、《病毒学及检验》、《细菌学及检验》,疾控类单位：卫生检验检疫、临床检验、细菌检验； 检验类单位：卫生检验、食品检验、动植物检验； 日化、药、食品类企业：产品质量检验。
291,护理学,护理学主要研究基础医学、护理学、预防保健等方面的基本知识和技能，在护理领域内进行临床护理、预防保健、护理管理、护理教学等。例如：医院内的临床操作、病人护理，新生儿和产妇的护理，老年人的保健和疾病预防等。 关键词：护理 护士 护工 保健,《人体解剖学》、《生理学》、《医学伦理学》、《药物治疗学》、《诊断学基础》、《护理学基础》、《急重症护理》、《内外科护理学》、《妇儿科护理学》、《精神护理学》,医疗机构：护士、护工； 家政类企业：保健医师、家庭护士、月嫂。
292,管理科学,管理科学主要研究数学、经济学、管理学、计算机应用基础等方面的基本知识和技能，进行企业、项目的规划、定量分析、决策、管理和组织实施等，涉及公共管理、企业管理、项目管理、后勤管理、信息管理、采购管理等多个领域。 关键词：管理 企业 项目 工商,《财务管理概论》、《电子商务技术基础》、《管理决策方法与模型》、《商业预测》、《ERP软件应用》、《采购管理概论》、《电子商务战略与组织》、《商业统计》、《商业智能及数据挖掘》、《信息、用户与技术》 部分高校按以下专业方向培养：后勤管理、矫正管理、精益管理、项目管理。,工商类企业：公共管理、企业管理、后勤管理、项目管理、信息管理。
293,信息管理与信息系统,信息管理与信息系统主要研究经济学、管理学、数量分析方法、信息资源管理、计算机及信息系统等方面的基本知识和技能，适应于各行各业的信息管理部门，利用计算机、网络等现代化办公手段进行信息的收集、传送、储存、加工以及使用等。例如：信息系统的规划、分析、设计、建设、管理，企业信息的处理和保密，数据库的建设和应用等。 关键词：信息 数据库 管理 保密,《管理统计学》、《ERP概论》、《SQL Server数据库应用》、《供应链管理与ERP》、《管理信息系统分析与设计》、《数据结构与算法基础》、《财务管理概论》、《Oracle数据库基础》、《数据库系统原理及应用》、《大型数据库应用》 部分高校按以下专业方向培养：医药、大数据、电子商务、管理信息、商务智能、金融信息系统、农村基层管理、信息系统审计、财务会计信息管理、企业信息系统应用。,各类企事业单位：信息管理、信息处理、信息系统建设、信息系统应用、数据库开发、保密技术开发、保密组织管理。
294,工程管理,工程管理主要研究管理学、经济学、信息工程、土木工程等方面的基本知识和技能，在工程建设和房地产等领域进行项目规划、决策、管理、组织等。例如：建筑工程的审计、评价和可行性分析，工程项目全过程的进度管理、质量把控和组织协调，工程项目造价和收益的预估等。 关键词：工程 管理 建筑 房地产,《工程造价管理》、《工程测量学》、《施工组织》、《CAD技术基础》、《工程估价》、《城市与房地产经济学》、《工程经济学》、《项目质量管理》、《项目组织与规划》、《工程合同管理》 部分高校按以下专业方向培养：工程审计、工程造价、房地产开发、不动产评估师、工程项目管理、智能建筑运维、智能楼宇运维、建筑管理工程师、项目管理与造价管理。,建筑、房地产类企业：工程审计、工程管理、工程造价、建筑工程、项目管理、房地产开发； 工程类企业：工程管理、施工组织。
295,房地产开发与管理,房地产开发与管理主要研究地理学、经济学、管理学、土木工程、房地产基本法规和政策等方面的基本知识和技能，进行房地产的开发与管理等。例如：土地的位置、价值以及开发后的收益的评估，房地产项目造价的预算，项目招标、投标的管理，房地产的销售等。 关键词：房屋 土地 管理 恒大,《城市经济学》、《测量与地图》、《管理学》、《房地产市场》、《房地产投资》、《房地产项目策划》、《房地产营销》、《城市规划原理》、《工程概预算》、《房地产项目管理》,房地产类企业：房地产开发、房地产评估、工程预算、招投标管理、房地产管理、房地产销售、房地产中介。
296,工程造价,工程造价主要研究经济学、管理学、土木工程等方面的基本知识和技能，进行建筑项目的投资分析、造价确定与控制、竣工结算等，包括了工程从开工到竣工全程的估、概、预、结算。例如：投资前项目费用的预测和估算，开工前对于工程全程造价的预算，施工中费用的控制和工程拨款，竣工后工程价款的结算等。 关键词：工程 造价 预算 建筑,《CAD技术基础》、《建筑制图与识图》、《工程财务管理》、《建设工程成本规划与控制》、《安装工程施工技术》、《建设工程项目融资》、《建筑物经济学》、《建筑与装饰工程施工技术》、《建筑与装饰工程估价》、《安装工程估价》 部分高校按以下专业方向培养：注册造价师、土木建筑工程。,建筑、房地产类企业：工程估价、招标管理、投标报价、工程监理、工程结算。
297,工商管理,工商管理主要研究管理学、经济学和现代企业管理等方面的基本知识和技能，包括企业的经营战略制定和内部行为管理等，运用现代管理的方法和手段进行有效的企业管理和经营决策，制定企业的战略性目标，以保证企业的生存和发展。 关键词：企业 管理 决策 经营,《管理统计学》、《经营管理学》、《微观经济学》、《采购与供应管理》、《市场预测与决策》、《财务运营》、《工商企业管理》、《质量管理》、《市场营销学》、《管理策略》 部分高校按以下专业方向培养：会计、创业管理、经贸英语、企业管理、拍卖与典当、管理审计CIA、国际企业管理、金融企业管理、跨国公司管理、人力资源管理、中小企业管理。,各类企事业单位：薄记员、审计员、会计员、出纳员、文职人员、行政助理。
298,市场营销,市场营销主要研究管理学、经济学、法学、市场营销学等方面的基本知识和技能，进行市场营销与管理、产品与品牌的推广宣传等，包括市场调查、市场分析、市场定位、营销策划、品牌推广、市场宣传等，实现在创造、沟通、传播和交换产品中，为客户、合作伙伴以及整个社会带来经济价值。 关键词：市场 经济 营销 双赢,《管理统计学》、《经营管理学》、《市场预测与决策》、《贸易经济学》、《新媒体与大数据营销》、《国际市场营销》、《宏观经济管理学》、《零售业营销》、《销售心理学》、《互联网营销》 部分高校按以下专业方向培养：医药、电子商务、国际营销、品牌管理、网络营销、大数据金融、奢侈品营销、商务策划与管理、营销管理与策划、时装销售与设计管理。,各类企事业单位：市场调研、数据分析、营销策划、广告策划、品牌管理、市场开发、营销管理。
299,会计学,会计学主要研究经济学、管理学、会计学、审计学、财务管理等方面的基本知识和技能，以企业会计为主，兼顾计算机与财务管理，进行企业财务活动和成本资料的收集、分类、综合、分析等。例如：企业资金流动的记录，资金数目的核对，财务报表的核算等。 关键词：会计 算账 财务 资金,《初级会计》、《计算技术》、《管理统计学》、《高级会计学》、《税收学》、《银行会计实务》、《企业会计实务》、《微观经济学》、《财政金融学》、《财务审计》 部分高校按以下专业方向培养：CPA、ACCA、CIMA、审计、会计师、国际会计、涉外会计、会计电算化、注册会计师、会计实务与管理。,各类企事业单位：会计师、审计师、财务分析、财务管理； 金融类企业：理财咨询。
300,财务管理,财务管理主要研究管理学、经济学、法学、金融学等方面的基本知识和技能，通过计划、决策、控制、监督等管理活动对资金运动进行管理规划，进行融资、投资及资本运营，并对亏损、破产等财务危机进行预测、防范和化解等。 关键词：财务 投资 资本运营 亏损,《管理统计学》、《税收学》、《高级会计学》、《财务信息系统》、《高级财务会计学》、《金融会计学》、《证券投资学》、《中高级财务管理》、《财务报表编制与分析》、《财务与会计电算化》 部分高校按以下专业方向培养：会计、财务会计、企业理财、税务筹划、投资理财、理财规划师、注册会计师、国际资产经营、企业财务管理、财务与资本运营。,各类企事业单位：会计员、出纳员、成本会计、管理会计、财务管理、财务分析； 金融类企业：理财规划。
301,国际商务,国际商务主要研究西方经济学、国际经济学、国际商务、国际贸易、国际法规等方面的基本知识和技能，应用于国际法规和外语开展商务活动，在跨国公司、涉外经济贸易部门、外资企业、政府机构等进行国际商务活动的策划、开展，包括国际商务谈判、进出口贸易、举办国际商会等。 关键词：国际 贸易 经济 APEC,《国际税收学》、《国际商务项目》、《国际商务管理学》、《财务管埋》、《采购管理与全球采购》、《港口管理》、《关税制度》、《国际金融与投资》、《国际贸易规则与惯例》、《国际人力资源》 部分高校按以下专业方向培养：CIMA、通关、国际财务。,跨国、外资类企业：商务代表、国际贸易、国际化经营、商务活动策划、国际企业管理。
302,人力资源管理,人力资源管理主要研究管理学、经济学、法学、人力资源管理等方面的基本知识和技能，涉及人力资源规划、招聘与配置、培训与开发、绩效管理、薪酬福利管理、劳动关系管理六个方面，进行企业人员的招聘、甄选、培训、考核、劳动关系管理等。 关键词：招聘 猎头 HR 51job,《公司组织与管理》、《人力资源会计》、《人力资源招聘与录用》、《应用心理与管理》、《培训与开发管理》、《金融会计学》、《劳动关系管理》、《员工关系管理》、《劳动关系与劳动法规》、《人力资源信息化管理》 部分高校按以下专业方向培养：发制品、国际人力资源管理。,各类企事业单位：招聘专员、人力资源开发、员工考核、员工培训、薪酬管理、劳动关系管理； 猎头类公司：猎头。
303,审计学,审计学主要研究管理学、经济学、法学、会计学、审计学等方面的基本知识和技能，包括政府审计、独立审计、内部审计三大类，分别由政府审计机关、会计师事务所、企业内部对企业的财务收支和经济活动进行事前和事后的审查、监督、计算等。例如：费用预算和经济合同执行情况的审查，内部人员舞弊行为的审查等。 关键词：审计 财政 经济 CIA,《国际审计》、《经济效益审计》、《金融审计》、《审计史》、《政府审计》、《财务收支审计》、《内部审计学》、《海关稽查》、《商业财务与分析》、《环境审计》 部分高校按以下专业方向培养：ACCA、IAEP、注册会计师、信息系统审计。,各类企事业单位：内部审计、审计实务、会计鉴定、资产评估； 社会中介机构：独立审计、审计服务； 政府机关：审计监督、审计检查与鉴定。
304,资产评估,资产评估主要研究资产评估、财务、税收、审计等方面的基本知识和技能，对不动产、动产、无形资产、企业价值、资产损失或者其他经济权益进行评定、估算，包括房屋、股票、债券、专利权、商标权、企业价值等资产的评估。 关键词：不动产 动产 无形资产 估值,《建筑工程评估基础》、《机电设备评估基础》、《ERP模拟演练》、《无形资产评估》、《证券分析》、《金融资产评估》、《投资估价》、《战略管理概论》、《资产评估基础业务实践》 部分高校按以下专业方向培养：注册资产评估师。,社会中介机构：资产评估； 各类企业：资产管理、投资估价； 金融机构：企业价值估价、质押品价值评估； 政府、事业单位：资产管理、财务税收。
305,物业管理,物业管理主要研究管理学、经济学、物业管理等方面的基本知识和技能，受物业所有人所托，对楼宇、社区、园区等物业的物业设备设施、绿化、卫生、交通、治安和环境容貌等进行维护、修缮、整治和管理，保障物业的安全与整洁。 关键词：小区 大厦 物业 管理,《城市管理学》、《物业环境管理》、《写字楼物业管理》、《房地产产权与产籍管理》、《社区物业管理与服务》、《物业管理发展战略》、《物业管理法规制度与政策》、《物业管理经济学》、《物业管理社会学》、《物业绿地规划及管理》 部分高校按以下专业方向培养：不动产管理。,物业服务类企业：物业管理、楼宇管理、环境管理、维修养护、社区服务； 各类企事业单位：后勤管理。
306,文化产业管理,文化产业管理主要研究管理学、经济学、文化学等方面的基本知识和技能，涉及文化旅游、广播影视、新闻出版、文物遗产、工艺美术、体育娱乐、动漫音乐等多个领域，探讨文化产业中企业的盈利方法及其模式，进行文化经营管理等。例如：电影、电视剧的制片、发行，图书、报刊的印刷、销售等。 关键词：文化 影视 图书 盈利,《网络广告学》、《影视剧制片管理》、《财务与会计》、《艺术品经营管理》、《电影制作与发行》、《文化产业政策与法规》、《广播电视经营管理》、《现代传媒策划与运作》、《广电节目产制管理》、《文化产业经济学》 部分高校按以下专业方向培养：文化经纪、文化旅游、影视制片管理。,影视传媒类企业：制片管理、影视发行、传媒运作； 政府、事业单位：文化产业管理、文化遗产保护、文化交流。
307,农林经济管理,农林经济管理主要研究经济学、管理学、农学、林学等方面的基本知识和技能，发展农林业的经济，进行农林业的企业经营管理、市场营销、流通贸易等。例如：牛奶、大米等农副产品的营销、贸易，生态农庄、农田景观等农业投资项目的评估，“三农”相关政策的研究等。 关键词：三农 林业 贸易 经济,《林业经济学》、《水产养殖概论》、《农产品物流管理》、《农产品储藏加工概论》、《农产品营销》、《农业投资项目评估》、《农业与食品政策》、《农业政策学》、《农产品市场分析》、《国际农产品贸易》,农、林类企业：农产品贸易、市场营销、经营管理、政策研究； 食品类企业：流通贸易、产品营销； 金融类企业：农林投资评估、农林经济分析。
308,农村区域发展,农村区域发展主要研究发展经济学、农村区域发展、当代农村发展等方面的基本知识和技能，进行农村发展的调查分析、规划设计、实施管理、调控评价等。例如：农村社区的规划、治理，沼气、秸秆等农村自然资源的可持续利用，农村生态环境的建设，灌溉、嫁接等农业技术的推广等。 关键词：三农 新农村 发展 产业化,《农业政策学》、《农业资源与环境学概论》、《普通发展学》、《参与式发展规划》、《发展研究方法》、《ERP系统管理基础》、《发展项目管理》、《公民社会组织管理》、《农村发展与管理的政策》、《农业产业化的推广与营销》,农业类企业：业务发展、产业推广、项目管理、经济规划； 政府、事业类单位：农村规划、新农村建设、农村区域发展。
309,公共事业管理,公共事业管理主要研究政治学、经济学、法学、社会学、管理学等方面的基本知识和技能，在交通、科技、体育、卫生、环保、社会保险等领域进行公共事业的规划、建设和管理等。常见的公共事业有：电力、供水、垃圾处理、污水处理、燃气供应、公共交通等。 关键词：供水 燃气 公交 医院,《公共组织行为学》、《公共卫生监督学》、《城市管理学》、《公共卫生管理与疾病控制》、《电子政务系统的安全管理》、《公共事业管理学》、《政府公共关系学》、《会计与财务管理》、《城市社会保障管理》、《城市生态环境管理》 部分高校按以下专业方向培养：公共安全、健康管理、体育管理、行政管理、休闲体育、医疗保险、医事法学、健康产业管理、卫生事业管理、医药贸易与管理、政府应急与安全社区建设。,公共事业单位：公共事业管理、公共事务规划、公共关系、行政管理、活动策划。
310,行政管理,行政管理主要研究行政学、政治学、管理学、法学等方面的基本知识和技能，进行企、事业单位行政事务的管理、组织、协调等。例如：企业办公用品的采购、登记、核查，各类会议的组织、安排、服务，打印机、饮水机等设备的管理，办公秩序和环境卫生的监督等。 关键词：行政 办公用品 文书 打印机,《市政学》、《管理学原著》、《行政秘书与公文写作》、《公共组织行为学》、《城市管理学》、《电子政务与办公自动化》、《社会调查统计分析》、《行政法与行政诉讼》、《社会保障制度》、《公共行政原理》 部分高校按以下专业方向培养：公务员、电子政务、警察管理、行政文秘、金融事务助理、人力资源管理、涉外行政管理、涉外经济事务管理、公共文化服务与管理、公共政策与政府治理。,各类企事业单位：行政管理、事务管理、行政文秘、文件管理。
311,劳动与社会保障,劳动与社会保障主要研究管理学、经济学、社会学等方面的基本知识和技能，进行劳动、社会保险、社会救济、社会福利、社会服务等方面的工作。例如：企业员工社会保险的办理，辞退、工伤赔偿等劳动纠纷的仲裁，对孤寡病残等困难户的救助，对于退伍军人、烈士家属的抚恤等。 关键词：社会 工伤赔偿 五险一金 福利院,《精算学》、《劳动关系管理》、《社会保障基金管理》、《社会福利与社会救济》、《保险统计学》、《比较社会保障制度》、《公共卫生学》、《劳动法与劳动争议处理》、《社会保险学》、《社会保障制度国际比较》,各类企事业单位：社保办理、人力资源管理； 保险类企业：保险推销； 政府、事业单位：劳动仲裁、社会救济、社会服务。
312,土地资源管理,土地资源管理主要研究现代管理学、经济学、资源学、土地管理等方面的基本知识和测量、制图、计算机等基本技能，进行土地调查、土地评估、土地利用规划、地籍管理、土地开发经营等。例如：高原、山地、丘陵等土地资源面积、地形、地区的调查，土地价值的评估，土地用途的规划等。 关键词：土地 资源 规划 测量,《建筑制图与识图》、《不动产估价》、《土地信息系统》、《城市管理学》、《地籍测量》、《土地规划与利用》、《房地产开发与经营管理》、《统计学原理及应用》、《房地产市场分析》、《土地资源学》 部分高校按以下专业方向培养：土地整治、土地规划与地价评估。,国土、城建类单位：土地资源调查、土地评价、土地规划、土地测量、土地管理、土地整治、地籍管理； 房地产类企业：地价评估、土地规划。
313,城市管理,城市管理主要研究现代管理学等方面的基本知识和技能，在政府机关、城市规划、建设等部门进行城市管理，包括城市基础设施、公共服务设施和社会公共事务的管理等。常见的城市基础设施有供电系统、供水系统、互联网、高速公路等，常见公共服务设施有学校、医院、邮局、派出所等。 关键词：城市 邮局 医院 桥梁,《公共关系学原理》、《公共经济学原理》、《财政预算与行政财务管理》、《城市财政学》、《城市道路交通管理》、《城市公用事业管理》、《城市管理》、《城市管理法规研究》、《城市环境管理》、《城市历史文化保护与管理》 部分高校按以下专业方向培养：城市经济与数字化管理。,政府、事业类单位：城市管理、环境管理、绿化管理、公用事业管理。
314,图书馆学,图书馆学主要研究图书馆学、文献学、目录学、信息学、传播学、管理学、经济学等方面的基本知识和技能，包括信息管理、文献检索、文献编目等，在图书馆、档案馆等进行图书和档案的整理、文献和文件的编目和检索、其他信息的咨询和检索等。 关键词：图书馆 档案馆 图书 文献,《图书馆学基础》、《图书馆管理》、《信息管理概论》、《信息用户研究》、《文献资源建设》、《文献分类法》、《文献编目》、《人文社会科学文献检索》、《科技文献检索》、《咨询与决策》,图书馆：信息咨询、图书管理、图书检索、文献编目。
315,档案学,档案学主要研究档案管理、信息管理、档案保护技术等方面的基本知识和技能，在国家机关、企事业单位的档案机构、信息部门进行档案信息服务、档案信息管理等，包括档案和文书的管理与检索、档案的排序和编目、档案的保护保密等。 关键词：档案馆 档案 检索 保密,《档案保护技术学》、《档案文献编纂学》、《信息检索原理与方法》、《档案鉴辨学》、《秘书学与秘书工作》、《文书学》、《外国档案管理》、《机关事务管理》、《科技档案管理学》、《情报学》 部分高校按以下专业方向培养：建筑工程档案管理。,档案馆：档案管理、文书管理、档案保护、档案检索、档案信息服务。
